dbName; idRun; tableORqueryName; nbJoinFD; algoName; totalTime (s); maxMem (Mo); algo1Time (s); algo2Time (s); algo3Time (s); nbUpstagedFDs; nbInferFDs; nbMinedFDs
TPCH; 5; "Q3"; 14; InFine; 12.921; 1210; 0; 0; 0.015; 6; 0; 8
TPCH; 6; "Q3"; 14; InFine; 12.859; 921; 0; 0; 0.015; 6; 0; 8
TPCH; 7; "Q3"; 14; InFine; 13; 1212; 0; 0; 0.031; 6; 0; 8
TPCH; 8; "Q3"; 14; InFine; 13.062; 883; 0; 0; 0.015; 6; 0; 8
TPCH; 9; "Q3"; 14; InFine; 12.968; 886; 0; 0; 0.015; 6; 0; 8
TPCH; 10; "Q3"; 14; InFine; 13.234; 853; 0; 0; 0.015; 6; 0; 8
TPCH; 1; "Q9"; 8; InFine; 27.718; 4289; 0; 0; 11.671; 7; 1; 0
TPCH; 2; "Q9"; 8; InFine; 27.515; 4290; 0; 0; 11.703; 7; 1; 0
TPCH; 3; "Q9"; 8; InFine; 27.859; 4294; 0; 0; 11.765; 7; 1; 0
TPCH; 4; "Q9"; 8; InFine; 27.421; 4292; 0.015; 0; 11.515; 7; 1; 0
TPCH; 5; "Q9"; 8; InFine; 28.171; 4283; 0; 0; 12.656; 7; 1; 0
TPCH; 6; "Q9"; 8; InFine; 28.218; 4669; 0; 0; 11.984; 7; 1; 0
TPCH; 7; "Q9"; 8; InFine; 29.14; 4269; 0; 0; 12.89; 7; 1; 0
TPCH; 8; "Q9"; 8; InFine; 32.062; 4252; 0; 0; 12.562; 7; 1; 0
TPCH; 9; "Q9"; 8; InFine; 30.046; 4255; 0; 0; 11.656; 7; 1; 0
TPCH; 10; "Q9"; 8; InFine; 32.796; 4235; 0; 0; 12.859; 7; 1; 0
TPCH; 1; "Q11"; 151; InFine; 14.312; 687; 0.031; 0; 0.562; 96; 35; 20
TPCH; 2; "Q11"; 151; InFine; 13.687; 649; 0.031; 0; 0.531; 96; 35; 20
TPCH; 3; "Q11"; 151; InFine; 13.765; 626; 0.031; 0; 0.546; 96; 35; 20
TPCH; 4; "Q11"; 151; InFine; 14.281; 615; 0.015; 0; 0.578; 96; 35; 20
TPCH; 5; "Q11"; 151; InFine; 16.156; 593; 0.015; 0; 0.656; 96; 35; 20
TPCH; 6; "Q11"; 151; InFine; 15.453; 570; 0.031; 0; 0.593; 96; 35; 20
TPCH; 7; "Q11"; 151; InFine; 13.921; 556; 0.015; 0; 0.578; 96; 35; 20
TPCH; 8; "Q11"; 151; InFine; 13.921; 528; 0.031; 0; 0.562; 96; 35; 20
TPCH; 9; "Q11"; 151; InFine; 14.437; 1114; 0.015; 0; 0.609; 96; 35; 20
TPCH; 10; "Q11"; 151; InFine; 13.796; 481; 0.031; 0; 0.562; 96; 35; 20
